set,ms,type
baseline,110.142,run
baseline,119.801,callFunction
baseline,100.27,parseOnBackground
baseline,331.199,js
baseline,8.247,gc
baseline,422.041,duration
baseline,1.894,compile
baseline,109.138,run
baseline,120.987,callFunction
baseline,8.81,parseOnBackground
baseline,240.829,js
baseline,7.906,gc
baseline,419.111,duration
baseline,0.959,compile
baseline,112.996,run
baseline,119.754,callFunction
baseline,9.73,parseOnBackground
baseline,243.439,js
baseline,7.496,gc
baseline,426.803,duration
baseline,1.716,compile
baseline,113.978,run
baseline,123.358,callFunction
baseline,8.951,parseOnBackground
baseline,248.003,js
baseline,8.605,gc
baseline,421.88,duration
baseline,1.137,compile
baseline,107.111,run
baseline,116.837,callFunction
baseline,9.051,parseOnBackground
baseline,234.136,js
baseline,7.884,gc
baseline,409.828,duration
baseline,1.362,compile
baseline,114.832,run
baseline,121.306,callFunction
baseline,9.02,parseOnBackground
baseline,246.52,js
baseline,8.567,gc
baseline,427.112,duration
baseline,1.017,compile
baseline,119.734,run
baseline,120.602,callFunction
baseline,8.809,parseOnBackground
baseline,250.162,js
baseline,9.826,gc
baseline,428.931,duration
baseline,0.95,compile
baseline,105.954,run
baseline,121.215,callFunction
baseline,99.266,parseOnBackground
baseline,327.385,js
baseline,8.388,gc
baseline,420.693,duration
baseline,1.144,compile
baseline,108.197,run
baseline,122.552,callFunction
baseline,99.386,parseOnBackground
baseline,331.279,js
baseline,8.495,gc
baseline,420.752,duration
baseline,0.777,compile
baseline,112.215,run
baseline,119.061,callFunction
baseline,9.298,parseOnBackground
baseline,241.351,js
baseline,8.462,gc
baseline,422.223,duration
baseline,0.814,compile
baseline,105.293,run
baseline,122.083,callFunction
baseline,9.488,parseOnBackground
baseline,237.678,js
baseline,7.939,gc
baseline,418.32,duration
baseline,1.11,compile
baseline,113.764,run
baseline,121.372,callFunction
baseline,9.72,parseOnBackground
baseline,245.966,js
baseline,10.351,gc
baseline,428.975,duration
baseline,0.986,compile
baseline,117.438,run
baseline,121.174,callFunction
baseline,9.499,parseOnBackground
baseline,249.097,js
baseline,8.826,gc
baseline,430.563,duration
baseline,0.757,compile
baseline,107.393,run
baseline,129.377,callFunction
baseline,9.271,parseOnBackground
baseline,246.798,js
baseline,8.123,gc
baseline,429.959,duration
baseline,0.93,compile
baseline,109.929,run
baseline,116.985,callFunction
baseline,98.445,parseOnBackground
baseline,326.289,js
baseline,7.892,gc
baseline,418.659,duration
baseline,0.592,compile
baseline,108.496,run
baseline,122.966,callFunction
baseline,98.624,parseOnBackground
baseline,330.678,js
baseline,8.098,gc
baseline,424.167,duration
baseline,1.159,compile
baseline,121.631,run
baseline,126.853,callFunction
baseline,9.477,parseOnBackground
baseline,259.12,js
baseline,10.576,gc
baseline,440.597,duration
baseline,1.135,compile
baseline,111.218,run
baseline,117.112,callFunction
baseline,9.214,parseOnBackground
baseline,238.679,js
baseline,8.304,gc
baseline,420.655,duration
baseline,1.086,compile
baseline,115.281,run
baseline,119.048,callFunction
baseline,100.31,parseOnBackground
baseline,335.725,js
baseline,9.339,gc
baseline,426.98,duration
baseline,1.605,compile
baseline,111.995,run
baseline,121.456,callFunction
baseline,9.2,parseOnBackground
baseline,244.256,js
baseline,8.135,gc
baseline,422.799,duration
baseline,0.955,compile
baseline,115.175,run
baseline,119.236,callFunction
baseline,9.172,parseOnBackground
baseline,244.538,js
baseline,9.024,gc
baseline,422.763,duration
baseline,1.273,compile
baseline,116.308,run
baseline,122.348,callFunction
baseline,8.736,parseOnBackground
baseline,248.665,js
baseline,9.526,gc
baseline,425.784,duration
baseline,0.908,compile
baseline,114.379,run
baseline,132.09,callFunction
baseline,99.002,parseOnBackground
baseline,346.379,js
baseline,8.468,gc
baseline,439.053,duration
baseline,1.164,compile
baseline,113.152,run
baseline,121.217,callFunction
baseline,8.989,parseOnBackground
baseline,244.522,js
baseline,8.366,gc
baseline,423.716,duration
baseline,0.774,compile
baseline,113.455,run
baseline,122.509,callFunction
baseline,93.759,parseOnBackground
baseline,330.497,js
baseline,8.63,gc
baseline,425.791,duration
baseline,0.745,compile
baseline,107.086,run
baseline,122.532,callFunction
baseline,98.916,parseOnBackground
baseline,329.279,js
baseline,7.67,gc
baseline,421.284,duration
baseline,1.051,compile
baseline,114.641,run
baseline,121.95,callFunction
baseline,96.53,parseOnBackground
baseline,334.172,js
baseline,8.317,gc
baseline,426.116,duration
baseline,0.952,compile
baseline,111.578,run
baseline,120.204,callFunction
baseline,98.69,parseOnBackground
baseline,331.424,js
baseline,8.688,gc
baseline,423.444,duration
baseline,0.996,compile
baseline,117.135,run
baseline,119.489,callFunction
baseline,9.273,parseOnBackground
baseline,246.893,js
baseline,9.113,gc
baseline,426.377,duration
unified-append,0.913,compile
unified-append,111.115,run
unified-append,122.878,callFunction
unified-append,8.969,parseOnBackground
unified-append,243.875,js
unified-append,8.922,gc
unified-append,420.341,duration
unified-append,1.133,compile
unified-append,114.032,run
unified-append,122.058,callFunction
unified-append,9.249,parseOnBackground
unified-append,246.472,js
unified-append,9.01,gc
unified-append,423.586,duration
unified-append,0.802,compile
unified-append,109.799,run
unified-append,118.74,callFunction
unified-append,94.13,parseOnBackground
unified-append,323.471,js
unified-append,9.099,gc
unified-append,416.841,duration
unified-append,1.073,compile
unified-append,106.15,run
unified-append,120.932,callFunction
unified-append,99.482,parseOnBackground
unified-append,327.637,js
unified-append,8.051,gc
unified-append,415.39,duration
unified-append,0.788,compile
unified-append,110.477,run
unified-append,125.203,callFunction
unified-append,9.465,parseOnBackground
unified-append,245.933,js
unified-append,8.845,gc
unified-append,428.852,duration
unified-append,0.784,compile
unified-append,103.068,run
unified-append,119.912,callFunction
unified-append,100.344,parseOnBackground
unified-append,324.108,js
unified-append,7.991,gc
unified-append,414.352,duration
unified-append,0.918,compile
unified-append,115.984,run
unified-append,120.425,callFunction
unified-append,9.246,parseOnBackground
unified-append,246.573,js
unified-append,8.102,gc
unified-append,426.6,duration
unified-append,0.617,compile
unified-append,112.676,run
unified-append,125.374,callFunction
unified-append,97.717,parseOnBackground
unified-append,336.384,js
unified-append,7.944,gc
unified-append,429.706,duration
unified-append,0.746,compile
unified-append,109.934,run
unified-append,121.09,callFunction
unified-append,8.71,parseOnBackground
unified-append,240.48,js
unified-append,7.67,gc
unified-append,424.673,duration
unified-append,0.954,compile
unified-append,113.899,run
unified-append,121.591,callFunction
unified-append,9.374,parseOnBackground
unified-append,245.818,js
unified-append,10.584,gc
unified-append,421.771,duration
unified-append,0.92,compile
unified-append,112.569,run
unified-append,139.942,callFunction
unified-append,97.84,parseOnBackground
unified-append,351.271,js
unified-append,9.554,gc
unified-append,445.793,duration
unified-append,0.761,compile
unified-append,105.239,run
unified-append,122.955,callFunction
unified-append,98.822,parseOnBackground
unified-append,327.777,js
unified-append,8.373,gc
unified-append,418.464,duration
unified-append,0.959,compile
unified-append,117.575,run
unified-append,130.508,callFunction
unified-append,106.937,parseOnBackground
unified-append,355.979,js
unified-append,9.128,gc
unified-append,455.721,duration
unified-append,0.97,compile
unified-append,111.428,run
unified-append,118.682,callFunction
unified-append,9.34,parseOnBackground
unified-append,240.42,js
unified-append,7.851,gc
unified-append,414.988,duration
unified-append,0.797,compile
unified-append,112.853,run
unified-append,122.699,callFunction
unified-append,8.983,parseOnBackground
unified-append,245.332,js
unified-append,8.104,gc
unified-append,420.851,duration
unified-append,0.959,compile
unified-append,107.643,run
unified-append,125.141,callFunction
unified-append,95.837,parseOnBackground
unified-append,329.58,js
unified-append,9.596,gc
unified-append,419.555,duration
unified-append,0.959,compile
unified-append,110.153,run
unified-append,123.051,callFunction
unified-append,95.497,parseOnBackground
unified-append,329.66,js
unified-append,8.089,gc
unified-append,420.689,duration
unified-append,0.959,compile
unified-append,110.08,run
unified-append,125.561,callFunction
unified-append,9.493,parseOnBackground
unified-append,246.093,js
unified-append,8.236,gc
unified-append,425.311,duration
unified-append,0.788,compile
unified-append,106.657,run
unified-append,120.57,callFunction
unified-append,9.568,parseOnBackground
unified-append,237.583,js
unified-append,8.149,gc
unified-append,425.634,duration
unified-append,0.981,compile
unified-append,109.196,run
unified-append,125.967,callFunction
unified-append,8.831,parseOnBackground
unified-append,244.975,js
unified-append,9.466,gc
unified-append,424.318,duration
unified-append,0.988,compile
unified-append,108.923,run
unified-append,119.725,callFunction
unified-append,9.269,parseOnBackground
unified-append,238.905,js
unified-append,7.894,gc
unified-append,413.533,duration
unified-append,0.735,compile
unified-append,110.268,run
unified-append,120.095,callFunction
unified-append,9.75,parseOnBackground
unified-append,240.848,js
unified-append,7.809,gc
unified-append,423.636,duration
unified-append,0.753,compile
unified-append,112.468,run
unified-append,119.213,callFunction
unified-append,9.467,parseOnBackground
unified-append,241.901,js
unified-append,7.932,gc
unified-append,425.931,duration
unified-append,1.103,compile
unified-append,117.817,run
unified-append,122.911,callFunction
unified-append,9.094,parseOnBackground
unified-append,250.925,js
unified-append,9.486,gc
unified-append,430.158,duration
unified-append,0.781,compile
unified-append,110.647,run
unified-append,126.173,callFunction
unified-append,8.681,parseOnBackground
unified-append,246.282,js
unified-append,8.217,gc
unified-append,423.663,duration
unified-append,0.952,compile
unified-append,108.896,run
unified-append,116.874,callFunction
unified-append,9.156,parseOnBackground
unified-append,235.878,js
unified-append,8.589,gc
unified-append,415.12,duration
unified-append,0.586,compile
unified-append,104.113,run
unified-append,118.938,callFunction
unified-append,97.087,parseOnBackground
unified-append,320.724,js
unified-append,7.861,gc
unified-append,413.524,duration
unified-append,0.766,compile
unified-append,110.628,run
unified-append,124.088,callFunction
unified-append,9.617,parseOnBackground
unified-append,245.099,js
unified-append,8.138,gc
unified-append,429.962,duration
unified-append,0.589,compile
unified-append,114.032,run
unified-append,122.558,callFunction
unified-append,96.228,parseOnBackground
unified-append,333.407,js
unified-append,9.439,gc
unified-append,423.847,duration
unified-append,0.96,compile
unified-append,106.802,run
unified-append,121.996,callFunction
unified-append,99.302,parseOnBackground
unified-append,329.06,js
unified-append,8.636,gc
unified-append,423.153,duration
unified-append,1.208,compile
unified-append,109.7,run
unified-append,120.052,callFunction
unified-append,9.036,parseOnBackground
unified-append,239.996,js
unified-append,8.242,gc
unified-append,417.24,duration
unified-append,0.936,compile
unified-append,112.92,run
unified-append,127.918,callFunction
unified-append,103.735,parseOnBackground
unified-append,345.509,js
unified-append,8.639,gc
unified-append,444.428,duration
unified-append,0.983,compile
unified-append,108.605,run
unified-append,123.892,callFunction
unified-append,10.173,parseOnBackground
unified-append,243.653,js
unified-append,9.311,gc
unified-append,423.837,duration
unified-append,0.772,compile
unified-append,107.303,run
unified-append,121.098,callFunction
unified-append,99.06,parseOnBackground
unified-append,328.233,js
unified-append,8.017,gc
unified-append,421.973,duration
unified-append,0.93,compile
unified-append,109.496,run
unified-append,124.2,callFunction
unified-append,97.724,parseOnBackground
unified-append,332.35,js
unified-append,8.844,gc
unified-append,424.255,duration
unified-append,0.949,compile
unified-append,109.574,run
unified-append,119.999,callFunction
unified-append,98.852,parseOnBackground
unified-append,329.374,js
unified-append,8.741,gc
unified-append,418.704,duration
unified-append,0.771,compile
unified-append,112.517,run
unified-append,118.758,callFunction
unified-append,9.831,parseOnBackground
unified-append,241.877,js
unified-append,8.638,gc
unified-append,416.497,duration
unified-append,0.568,compile
unified-append,110.717,run
unified-append,123.871,callFunction
unified-append,98.367,parseOnBackground
unified-append,333.523,js
unified-append,9.501,gc
unified-append,425.323,duration
unified-append,0.957,compile
unified-append,107.706,run
unified-append,126.825,callFunction
unified-append,9.895,parseOnBackground
unified-append,245.383,js
unified-append,9.676,gc
unified-append,427.964,duration
unified-append,0.758,compile
unified-append,111.832,run
unified-append,120.76,callFunction
unified-append,9.411,parseOnBackground
unified-append,242.761,js
unified-append,8.505,gc
unified-append,422.463,duration
unified-append,0.908,compile
unified-append,108.955,run
unified-append,121.905,callFunction
unified-append,98.536,parseOnBackground
unified-append,330.304,js
unified-append,8.179,gc
unified-append,419.988,duration
unified-append,0.774,compile
unified-append,110.947,run
unified-append,125.905,callFunction
unified-append,97.283,parseOnBackground
unified-append,334.909,js
unified-append,8.788,gc
unified-append,426.259,duration
unified-append,0.923,compile
unified-append,111.658,run
unified-append,117.711,callFunction
unified-append,9.215,parseOnBackground
unified-append,239.507,js
unified-append,7.675,gc
unified-append,412.994,duration
unified-append,0.94,compile
unified-append,112.145,run
unified-append,120.203,callFunction
unified-append,10.357,parseOnBackground
unified-append,243.645,js
unified-append,8.147,gc
unified-append,425.28,duration
unified-append,0.971,compile
unified-append,107.594,run
unified-append,123.946,callFunction
unified-append,9.359,parseOnBackground
unified-append,241.87,js
unified-append,8.814,gc
unified-append,418.398,duration
unified-append,0.932,compile
unified-append,108.072,run
unified-append,121.248,callFunction
unified-append,8.798,parseOnBackground
unified-append,239.05,js
unified-append,8.364,gc
unified-append,423.784,duration
unified-append,0.991,compile
unified-append,105.915,run
unified-append,118.336,callFunction
unified-append,96.605,parseOnBackground
unified-append,321.847,js
unified-append,8.147,gc
unified-append,413.561,duration
unified-append,1.101,compile
unified-append,108.975,run
unified-append,122.233,callFunction
unified-append,93.695,parseOnBackground
unified-append,326.004,js
unified-append,8.637,gc
unified-append,417.595,duration
unified-append,0.953,compile
unified-append,109.182,run
unified-append,123.561,callFunction
unified-append,9.734,parseOnBackground
unified-append,243.43,js
unified-append,9.431,gc
unified-append,425.414,duration
unified-append,0.992,compile
unified-append,109.595,run
unified-append,117.996,callFunction
unified-append,97.88,parseOnBackground
unified-append,326.463,js
unified-append,8.042,gc
unified-append,417.314,duration
